Q_val_starting_val,replay_mem_ep,total_reward,total_updates,neg_score,n_goal_reached,n_trials,mtry
0,0,3465.0,2200,-25,69,100,1
0,0,2165.5,2888,-35,6,100,2
0,0,3021.5,3011,-50,6,100,3
0,0,3710.5,2978,-32,14,100,4
0,0,2645.5,2899,-37,15,100,5
0,0,3092.0,3205,-36,1,100,6
0,0,2936.0,3067,-41,1,100,7
0,0,2590.0,2592,-42,23,100,8
0,0,3075.0,2998,-27,6,100,9
0,0,3246.5,2598,-47,34,100,10
0,1,3097.0,3876,-25,68,100,1
0,1,3330.5,3779,-15,69,100,2
0,1,3086.0,4195,-29,59,100,3
0,1,3380.5,4542,-35,48,100,4
0,1,3106.5,3392,-22,82,100,5
0,1,2857.5,3759,-21,61,100,6
0,1,3806.0,4432,-27,62,100,7
0,1,2963.5,3894,-29,64,100,8
0,1,2910.5,4660,-23,46,100,9
0,1,3433.5,4770,-38,46,100,10
0,5,3577.0,13318,-17,56,100,1
0,5,3266.0,12576,-28,63,100,2
0,5,3218.0,11429,-34,70,100,3
0,5,3245.5,11138,-24,74,100,4
0,5,3282.0,11398,-25,74,100,5
0,5,3356.5,12955,-29,52,100,6
0,5,3765.0,15238,-28,38,100,7
0,5,3216.5,13032,-33,46,100,8
0,5,3331.0,12792,-30,61,100,9
0,5,3619.5,12917,-35,57,100,10
0,10,3289.5,19826,-28,80,100,1
0,10,3121.0,24763,-42,51,100,2
0,10,3641.0,24463,-28,56,100,3
0,10,3210.0,20497,-29,74,100,4
0,10,3542.5,22222,-25,75,100,5
0,10,3211.5,22664,-31,56,100,6
0,10,3062.5,19274,-28,66,100,7
0,10,3392.5,21583,-27,67,100,8
0,10,3537.5,21467,-32,81,100,9
0,10,3160.0,23368,-33,57,100,10
0,20,3200.5,48327,-37,39,100,1
0,20,3233.5,36781,-30,72,100,2
0,20,3623.5,47959,-36,43,100,3
0,20,3267.5,38937,-35,65,100,4
0,20,3343.5,43420,-28,55,100,5
0,20,3449.5,39648,-33,69,100,6
0,20,3520.5,45632,-32,58,100,7
0,20,3519.5,43796,-36,63,100,8
0,20,3387.0,38732,-17,73,100,9
0,20,3308.5,46919,-44,37,100,10
0,50,3121.5,44736,-37,59,100,1
0,50,3325.5,43971,-29,64,100,2
0,50,3527.5,47974,-26,58,100,3
0,50,3208.0,41101,-16,65,100,4
0,50,3331.0,52649,-42,33,100,5
0,50,3316.0,50022,-30,47,100,6
0,50,3397.5,43715,-30,48,100,7
0,50,2981.5,40157,-22,66,100,8
0,50,3178.0,41480,-33,63,100,9
0,50,3215.0,42791,-30,59,100,10
1,0,3008.5,3055,-41,0,100,1
1,0,3450.5,2228,-32,57,100,2
1,0,2818.0,2991,-44,2,100,3
1,0,3220.5,3100,-41,0,100,4
1,0,2614.5,2969,-35,14,100,5
1,0,3127.5,3075,-36,0,100,6
1,0,3797.0,2455,-28,48,100,7
1,0,2744.5,3236,-33,1,100,8
1,0,2857.0,2898,-45,4,100,9
1,0,3276.0,2036,-24,65,100,10
1,1,3190.5,3654,-25,82,100,1
1,1,3268.5,4142,-23,54,100,2
1,1,3519.5,4298,-32,60,100,3
1,1,3129.0,3213,-26,83,100,4
1,1,3194.0,3953,-23,67,100,5
1,1,3797.0,4446,-32,54,100,6
1,1,3288.5,4088,-38,76,100,7
1,1,3496.5,3573,-33,85,100,8
1,1,3239.0,3363,-19,79,100,9
1,1,3215.0,4341,-30,59,100,10
1,5,3126.5,10579,-23,74,100,1
1,5,3100.0,11147,-20,73,100,2
1,5,3520.0,13516,-24,58,100,3
1,5,3232.0,12593,-27,57,100,4
1,5,3237.0,9838,-24,82,100,5
1,5,3240.5,12273,-26,58,100,6
1,5,3523.0,12790,-31,55,100,7
1,5,2990.0,12272,-25,57,100,8
1,5,3157.5,9836,-19,76,100,9
1,5,3697.5,13899,-38,56,100,10
1,10,3379.5,21340,-23,63,100,1
1,10,3324.0,21712,-31,66,100,2
1,10,3337.0,19679,-28,80,100,3
1,10,3400.0,22194,-31,65,100,4
1,10,3205.0,25786,-32,42,100,5
1,10,3298.0,21054,-17,67,100,6
1,10,3250.5,19197,-14,74,100,7
1,10,3067.5,20877,-26,60,100,8
1,10,3166.5,17833,-31,78,100,9
1,10,3438.0,21940,-29,65,100,10
1,20,3015.0,38534,-28,62,100,1
1,20,3166.5,32895,-22,80,100,2
1,20,3405.5,40426,-19,63,100,3
1,20,3167.5,32165,-29,77,100,4
1,20,3532.5,42196,-32,66,100,5
1,20,3351.0,36365,-39,70,100,6
1,20,3585.5,47903,-32,47,100,7
1,20,3334.0,37910,-18,71,100,8
1,20,3468.5,38950,-23,67,100,9
1,20,3356.5,46590,-39,55,100,10
1,50,3244.0,43625,-25,63,100,1
1,50,3202.5,46803,-32,59,100,2
1,50,3061.0,38777,-30,66,100,3
1,50,3367.5,40284,-25,65,100,4
1,50,3373.5,52832,-38,52,100,5
1,50,3061.5,35591,-27,71,100,6
1,50,3291.5,40961,-29,72,100,7
1,50,3217.0,37181,-23,67,100,8
1,50,3418.5,46021,-28,63,100,9
1,50,3276.0,43330,-27,69,100,10
5,0,2905.5,2939,-50,2,100,1
5,0,2972.0,2990,-45,4,100,2
5,0,2845.0,2544,-37,23,100,3
5,0,2845.5,2990,-42,13,100,4
5,0,2732.0,2971,-38,8,100,5
5,0,3138.0,2985,-30,4,100,6
5,0,3134.0,3096,-34,1,100,7
5,0,2892.5,2777,-52,7,100,8
5,0,3028.0,1743,-24,82,100,9
5,0,3441.0,2728,-29,14,100,10
5,1,3259.0,3932,-27,74,100,1
5,1,3229.5,3408,-30,82,100,2
5,1,3513.5,3829,-34,75,100,3
5,1,3039.0,3108,-18,86,100,4
5,1,3719.5,4232,-20,64,100,5
5,1,3407.0,3463,-19,79,100,6
5,1,2960.5,3165,-20,79,100,7
5,1,3033.0,3799,-27,65,100,8
5,1,3141.0,3511,-15,75,100,9
5,1,3257.0,4291,-28,61,100,10
5,5,3230.0,12680,-23,54,100,1
5,5,3219.5,12292,-29,64,100,2
5,5,2884.5,10067,-22,70,100,3
5,5,3388.0,12492,-30,61,100,4
5,5,3180.0,11503,-22,71,100,5
5,5,3135.5,10930,-27,70,100,6
5,5,3882.0,13494,-28,58,100,7
5,5,3671.5,13532,-40,49,100,8
5,5,3177.5,10667,-20,80,100,9
5,5,3239.5,10365,-21,79,100,10
5,10,3443.0,19781,-33,80,100,1
5,10,3463.5,21283,-30,75,100,2
5,10,3595.0,23592,-28,64,100,3
5,10,3069.0,25357,-42,46,100,4
5,10,3221.5,21771,-20,61,100,5
5,10,3081.0,26124,-26,41,100,6
5,10,3385.5,19088,-27,76,100,7
5,10,3093.5,16350,-19,82,100,8
5,10,3288.0,20782,-30,66,100,9
5,10,3364.5,19616,-25,76,100,10
5,20,3239.0,33211,-29,75,100,1
5,20,3234.0,29343,-25,83,100,2
5,20,3501.5,32007,-20,82,100,3
5,20,3234.5,35779,-29,60,100,4
5,20,3313.0,39966,-27,61,100,5
5,20,3090.0,41669,-36,54,100,6
5,20,3297.0,38638,-27,60,100,7
5,20,3201.5,42494,-32,41,100,8
5,20,3453.0,34042,-25,83,100,9
5,20,3281.0,40713,-28,60,100,10
5,50,3417.0,36739,-22,67,100,1
5,50,3064.5,29279,-17,80,100,2
5,50,3348.0,41727,-35,72,100,3
5,50,3162.5,34573,-22,78,100,4
5,50,3349.5,40863,-30,47,100,5
5,50,3275.5,41659,-25,51,100,6
5,50,3012.0,33108,-22,76,100,7
5,50,3281.5,45254,-33,56,100,8
5,50,3334.0,43049,-21,61,100,9
5,50,3363.0,40816,-30,61,100,10
10,0,3299.5,1531,-23,96,100,1
10,0,3101.5,1425,-21,95,100,2
10,0,3208.5,1576,-29,91,100,3
10,0,3056.0,1429,-28,95,100,4
10,0,2988.0,1386,-15,98,100,5
10,0,2864.0,1276,-27,99,100,6
10,0,3138.0,1536,-22,96,100,7
10,0,3004.0,1359,-23,97,100,8
10,0,3004.5,1380,-18,94,100,9
10,0,3319.5,1599,-25,95,100,10
10,1,3717.5,3878,-22,74,100,1
10,1,3200.5,2855,-22,95,100,2
10,1,3359.0,3055,-18,95,100,3
10,1,3353.0,3013,-27,93,100,4
10,1,3833.0,4192,-27,66,100,5
10,1,3142.0,2815,-27,95,100,6
10,1,3254.5,2962,-29,94,100,7
10,1,3119.5,2743,-20,97,100,8
10,1,2984.5,3091,-29,93,100,9
10,1,3649.0,3896,-23,68,100,10
10,5,3380.0,9616,-25,87,100,1
10,5,3343.0,8763,-16,97,100,2
10,5,3141.5,8561,-26,91,100,3
10,5,3323.5,8646,-17,94,100,4
10,5,3317.5,8873,-21,93,100,5
10,5,3122.0,8189,-17,93,100,6
10,5,3481.0,10319,-24,80,100,7
10,5,3222.0,8479,-24,95,100,8
10,5,3270.0,8904,-23,90,100,9
10,5,3312.0,9072,-34,94,100,10
10,10,3601.0,19507,-20,82,100,1
10,10,3636.5,20482,-26,82,100,2
10,10,3038.0,14515,-19,90,100,3
10,10,3512.5,18974,-29,83,100,4
10,10,3160.0,15297,-19,90,100,5
10,10,3578.5,18718,-27,88,100,6
10,10,3389.5,17570,-20,87,100,7
10,10,3358.0,18767,-21,83,100,8
10,10,3201.0,21599,-23,65,100,9
10,10,3774.5,20816,-23,84,100,10
10,20,3274.0,38660,-24,72,100,1
10,20,3245.5,32938,-25,82,100,2
10,20,3428.0,34836,-18,84,100,3
10,20,3810.0,39250,-23,76,100,4
10,20,3289.5,34166,-18,73,100,5
10,20,3314.5,35377,-24,82,100,6
10,20,3260.0,30797,-20,88,100,7
10,20,3251.5,40553,-34,69,100,8
10,20,3503.0,43417,-31,60,100,9
10,20,3356.5,32043,-28,88,100,10
10,50,3339.0,32503,-24,81,100,1
10,50,3452.5,45588,-26,62,100,2
10,50,3144.5,34412,-28,82,100,3
10,50,3386.0,41531,-20,79,100,4
10,50,3274.5,39270,-23,71,100,5
10,50,3359.5,41726,-30,73,100,6
10,50,3538.5,48128,-32,74,100,7
10,50,3070.0,31984,-18,85,100,8
10,50,3194.0,30640,-20,90,100,9
10,50,3226.5,39636,-21,71,100,10
20,0,3328.0,2033,-100,71,100,1
20,0,3184.5,1958,-100,71,100,2
20,0,3340.0,2192,-111,60,100,3
20,0,3259.5,2003,-101,69,100,4
20,0,3499.5,2159,-102,70,100,5
20,0,3365.5,2103,-102,66,100,6
20,0,3095.0,1914,-96,67,100,7
20,0,3356.0,2099,-104,65,100,8
20,0,3326.0,2006,-97,73,100,9
20,0,3364.0,2229,-109,60,100,10
20,1,3393.5,3257,-28,93,100,1
20,1,3210.5,3050,-22,88,100,2
20,1,3211.0,3067,-28,87,100,3
20,1,3361.0,3339,-38,85,100,4
20,1,3434.5,3260,-27,92,100,5
20,1,3306.0,3133,-28,91,100,6
20,1,3080.5,2827,-25,91,100,7
20,1,3219.0,2964,-26,92,100,8
20,1,3172.0,2916,-32,90,100,9
20,1,3464.0,3411,-31,89,100,10
20,5,3447.5,10052,-31,84,100,1
20,5,3264.5,9051,-26,91,100,2
20,5,3594.0,10872,-26,82,100,3
20,5,3391.5,10373,-25,77,100,4
20,5,3359.0,8815,-23,95,100,5
20,5,3383.0,11717,-32,63,100,6
20,5,3472.5,10468,-36,80,100,7
20,5,3203.5,8826,-25,88,100,8
20,5,3415.0,10124,-31,84,100,9
20,5,3410.5,9897,-26,85,100,10
20,10,3403.5,19644,-28,76,100,1
20,10,3405.5,19429,-24,78,100,2
20,10,3457.0,19600,-38,82,100,3
20,10,3079.0,28034,-47,32,100,4
20,10,3790.0,22300,-27,71,100,5
20,10,3290.5,17530,-28,85,100,6
20,10,3494.5,18807,-24,81,100,7
20,10,3385.5,21263,-33,67,100,8
20,10,3338.0,19126,-30,76,100,9
20,10,3360.5,23684,-37,56,100,10
20,20,3393.0,36797,-28,78,100,1
20,20,3499.5,41241,-37,71,100,2
20,20,3560.5,40292,-43,77,100,3
20,20,3417.0,38661,-40,74,100,4
20,20,3441.5,45971,-39,62,100,5
20,20,3431.0,36745,-22,82,100,6
20,20,3433.0,41364,-28,67,100,7
20,20,3415.0,46849,-37,50,100,8
20,20,3450.0,38573,-27,75,100,9
20,20,3444.0,37505,-19,78,100,10
20,50,3335.0,47010,-39,64,100,1
20,50,3586.0,53707,-35,65,100,2
